,freqs,usess,value
99,"146,8000 – 148,0000",MOBIL,1
100,"148,0000 – 149,0000",MOBIL,1
101,"148,0000 – 149,0000",MOBIL PRIN SATELIT (PAMÂNT-SPAȚIU),1
102,"149,0000-149,5500",MOBIL,1
103,"149,0000-149,5500",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
104,"149,5500-149,8000",MOBIL,1
105,"149,5500-149,8000",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
106,"149,8000-149,9000",MOBIL,1
107,"149,8000-149,9000",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
108,"149,9000 – 150,0500",MOBIL,1
109,"149,9000 – 150,0500",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
110,"150,0500 – 152,8500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
111,"150,0500 – 152,8500",RADIOASTRONOMIE,1
112,"152,8500-152,9500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
113,"152,8500-152,9500",RADIOASTRONOMIE,1
114,"152,9500 - 153,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
115,"152,9500 - 153,0000",RADIOASTRONOMIE,1
116,"153,0000 - 153,2500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
117,"153,2500 – 154,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
118,"154,0000 – 154,1000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
119,"154,1000 - 154,4500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
120,"154,4500 - 154,850",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
121,"154,8500 – 155,1000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
122,"155,1000 – 155,4000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
123,"155,4000 – 155,6000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
124,"155,6000 – 156,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
125,"156,0000 –  156,4875",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
126,"156,4875 – 156,5125",MOBIL MARITIM (PRIMEJDIE ŞI APEL PRIN DSC),1
127,"156,5125 – 156,5375",MOBIL MARITIM (PRIMEJDIE ȘI APEL),1
128,"156,5375 - 156,5625",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
129,"156,5375 - 156,5625",MOBIL MARITIM (PRIMEJDIE ŞI APEL VIA DSC),1
130,"156,5625 – 156,7625",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
131,"156,7625 – 156,7875",MOBIL MARITIM (PRIMEJDIE ŞI APEL),1
132,"156,7875 – 156,8125",MOBIL MARITIM (PRIMEJDIE ŞI APEL),1
133,"156,8125 – 156,8375",MOBIL MARITIM,1
134,"156,8125 – 156,8375",MOBIL PRIN SATELIT (PĂMÂNT-SPAȚIU),1
135,"156,8375 – 157,4500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
136,"157,4500 – 159,1750",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
137,"159,1750 – 159,5000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
138,"159,5000 – 160,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
139,"160,0000 – 160,6000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
140,"160,6000 – 160,9750",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
141,"160,9750 – 161,1250",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
142,"161,1250 – 161,2750",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
143,"161,2750 - 161,4750",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
144,"161,4750-161,9375",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
145,"161,9375 - 161,9625",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
146,"161,9375 - 161,9625",MOBIL MARITIM PRIN SATELIT (PĂMÂNT-SPATIU),1
147,"161,9625 - 161,9875",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
148,"161,9625 - 161,9875",MOBIL PRIN SATELIT (PĂMÂNT-SPAȚIU),1
149,"161,9875 - 162,0125",MOBIL MARITIM PRIN SATELIT (PĂMÂNT-SPAȚIU),1
150,"161,9875 - 162,0125",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC ,1
151,"162,0125-162,0375",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
152,"162,0375-162,0500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
153,"162,0500 – 164,0500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
154,"164,0500 - 164,3000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
155,"164,3000 - 165,2000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
156,"165,2000 - 165,2250",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
157,"165,2250 – 165,4250",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
158,"165,4250 – 165,7750",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
159,"165,7750 – 167,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
160,"167,0000 - 169,4000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
161,"169,4000 - 169,8125",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
162,"169,8125 – 170,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
163,"170,0000 - 171,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
164,"171,0000 – 171,4000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
165,"171,4000 – 171,6000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
166,"171,6000 - 174,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
167,"174,0000 - 216,0000",RADIODIFUZIUNE,1
168,"216,0000 - 223,0000",RADIODIFUZIUNE,1
169,"223,0000 - 225,0000",RADIODIFUZIUNE,1
170,"225,0000 -230,0000",RADIODIFUZIUNE,1
171,"225,0000 -230,0000",MOBIL TERESTRU,1
172,"230,0000 - 235,0000",MOBIL,1
173,"235,0000 - 240,0000",MOBIL,1
174,"240,0000 - 242,9500",MOBIL,1
175,"242,9500 - 243,0500",MOBIL AERONAUTIC,1
176,"243,0500 - 267,0000",MOBIL,1
177,"267,0000 - 272,0000",MOBIL,1
178,"272,0000 - 273,0000",MOBIL,1
179,"273,0000 - 312,0000",MOBIL,1
180,"312,0000 - 315,0000",MOBIL,1
181,"315,0000 - 322,0000",MOBIL,1
182,"322,0000 - 328,6000",MOBIL,1
183,"322,0000 - 328,6000",RADIOASTRONOMIE,1
184,"328,6000 - 335,4000",RADIONAVIGATIE AERONAUTICA,1
185,"335,4000 - 380,0000",MOBIL,1
186,"380,0000 - 385,0000",MOBIL,1
187,"385,0000 – 387,0000",MOBIL,1
188,"387,0000 –390,0000",MOBIL,1
189,"390,0000 – 395,0000",MOBIL,1
190,"395,0000 – 399,9000",MOBIL,1
191,"399,9000 - 400,0500",MOBIL PRIN SATELIT (PAMÂNT-SPAȚIU),1
192,"400,0500 - 400,1500",FRECVENȚE ETALON ȘI SEMNALE ORARE PRIN SATELIT,1
193,"400,1500 - 401,0000",AUXILIAR METEOROLOGIC,1
194,"400,1500 - 401,0000",METEOROLOGIC PRIN SATELIT (PĂMÂNT-SPAȚIU),1
195,"400,1500 - 401,0000",MOBIL PRIN SATELIT (SPAȚIU-PĂMÂNT),1
196,"400,1500 - 401,0000",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
197,"400,1500 - 401,0000",EXPLOATARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
198,"401,0000 - 402,0000",EXPLORAREA PAMÂNTULUI PRIN SATELIT  (PĂMÂNT-SPAȚIU),1
199,"401,0000 - 402,0000",AUXILIAR METEOROLOGIC,1
200,"401,0000 - 402,0000",METEOROLOGIC PRIN SATELIT (PĂMÂNT-SPAȚIU),1
201,"402,0000 - 403,0000",AUXILIAR METEOROLOGIC,1
202,"402,0000 - 403,0000",EXPLORAREA PAMÂNTULUI PRIN SATELIT  (PĂMÂNT-SPAȚIU),1
203,"402,0000 - 403,0000",METEOROLOGIC PRIN SATELIT (PĂMÂNT-SPAȚIU),1
204,"403,0000 – 404,0000",AUXILIAR METEOROLOGIC,1
205,"403,0000 – 404,0000",MOBIL TERESTRU,1
206,"404,0000 – 405,0000",AUXILIAR METEOROLOGIC,1
207,"405,0000 – 406,0000",AUXILIAR METEOROLOGIC,1
208,"406,0000 – 406,1000",MOBIL PRIN SATELIT (PĂMÂNT-SPAȚIU),1
209,"406,1000 – 408,0000",MOBIL TERESTRU,1
210,"406,1000 – 408,0000",RADIOASTRONOMIE,1
211,"408,0000 – 410,0000",MOBIL TERESTRU,1
212,"408,0000 – 410,0000",RADIOASTRONOMIE,1
213,"410,0000 – 411,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
214,"410,1000 – 415,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
215,"415,0000 – 420,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
216,"420,0000 – 421,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
217,"420,0000 – 421,0000",RADIOLOCAȚIE,1
218,"421,0000 – 425,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
219,"421,0000 – 425,0000",RADIOLOCAȚIE,1
220,"425,0000 – 429,8000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
221,"425,0000 – 429,8000",RADIOLOCAȚIE,1
222,"429,8000 – 430,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
223,"429,8000 – 430,0000",RADIOLOCAȚIE,1
224,"430,0000 – 432,0000",AMATOR,1
225,"430,0000 – 432,0000",RADIOLOCAȚIE,1
226,"430,0000 – 432,0000",MOBIL TERESTRU,1
227,"432,0000 – 433,0500",AMATOR,1
228,"432,0000 – 433,0500",RADIOLOCAȚIE,1
229,"432,0000 – 433,0500",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
230,"433,0500 – 434,7900",AMATOR,1
231,"433,0500 – 434,7900",RADIOLOCAȚIE,1
232,"433,0500 – 434,7900",MOBIL TERESTRU,1
233,"433,0500 – 434,7900",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
