,freqs,usess,value
97,"149,9000 – 150,0500","MOBIL
MOBIL PRIN SATELIT (Pământ-
spațiu)  5.209  5.220 ECA6",1
98,"150,0500 – 152,8500","MOBIL cu excepția mobil aeronautic
RADIOASTRONOMIE 5.149
ECA7",1
99,"152,8500-152,9500",nan,1
100,"152,9500 - 153,0000",nan,1
101,"153,0000 - 153,2500","MOBIL cu excepția mobil aeronautic (R)
ECA7",1
102,"153,2500 – 154,0000",nan,1
103,"154,0000 – 154,1000","MOBIL cu excepția mobil aeronautic (R)
5.226
ECA7 ECA8",1
104,"154,1000 - 154,4500",nan,1
105,"154,4500 - 154,850",nan,1
106,"154,8500 – 155,1000","MOBIL cu excepția mobil aeronautic (R)
5.226
ECA7 ECA8",1
107,"155,1000 – 155,4000",nan,1
108,"155,4000 – 155,6000",nan,1
109,"155,6000 – 156,0000",nan,1
110,"156,0000 –  156,4875",nan,1
111,"156,4875 – 156,5125","MOBIL MARITIM (primejdie şi apel
prin DSC) 5.226
5.227
ECA7 ECA8",1
112,"156,5125 – 156,5375","MOBIL MARITIM (primejdie și
apel) 5.111
5.226",1
113,"156,5375 - 156,5625","MOBIL cu excepţia mobil
aeronautic (R)
MOBIL MARITIM (primejdie şi apel
via DSC) 5.226
5.227
ECA7 ECA8",1
114,"156,5625 – 156,7625","MOBIL cu excepţia mobil
aeronautic (R) 5.226
ECA7
ECA8",1
115,"156,7625 – 156,7875","MOBIL MARITIM (primejdie şi
apel) 5.111
5.226
5.228",1
116,"156,7875 – 156,8125","MOBIL MARITIM (primejdie şi
apel) 5.111
5.226",1
117,"156,8125 – 156,8375","MOBIL MARITIM
Mobil prin satelit (Pământ -spațiu) 5.111
5.226
5.228",1
118,"156,8375 – 157,4500","MOBIL cu excepția mobil aeronautic
5.226
ECA7 ECA8",1
119,"157,4500 – 159,1750",nan,1
120,"159,1750 – 159,5000",nan,1
121,"159,5000 – 160,0000",nan,1
122,"160,0000 – 160,6000",nan,1
123,"160,6000 – 160,9750",nan,1
124,"160,9750 – 161,1250",nan,1
125,"161,1250 – 161,2750",nan,1
126,"161,2750 - 161,4750",nan,1
127,"161,4750-161,9375",nan,1
128,"161,9375 - 161,9625","MOBIL cu excepția mobil aeronautic
Mobil maritim prin satelit (Pământ- spatiu) 5.228AA
5.226
ECA7 ECA8",1
129,"161,9625 - 161,9875","MOBIL cu excepția mobil aeronautic
Mobil prin satelit (Pământ-spațiu)
5.228F
5.226
ECA7 ECA8",1
130,"161,9875 - 162,0125","MOBIL MARITIM PRIN SATELIT
(Pământ-spațiu) 5.228AA
MOBIL cu excepția mobil
aeronautic 5.226 ECA7 ECA8",1
131,"162,0125-162,0375","MOBIL cu excepția mobil
aeronautic 5.226 ECA7 ECA8",1
132,"162,0375-162,0500","Mobil cu excepția mobil aeronautic
ECA7",1
133,"162,0500 – 164,0500",nan,1
134,"164,0500 - 164,3000",nan,1
135,"164,3000 - 165,2000",nan,1
136,"165,2000 - 165,2250",nan,1
137,"165,2250 – 165,4250",nan,1
138,"165,4250 – 165,7750",nan,1
139,"165,7750 – 167,0000",nan,1
140,"167,0000 - 169,4000",nan,1
141,"169,4000 - 169,8125",MOBIL cu excepția mobil aeronautic,1
142,"169,8125 – 170,0000","MOBIL cu exceptia mobil aeronautic
ECA7",1
143,"170,0000 - 171,0000",nan,1
144,"171,0000 – 171,4000",nan,1
145,"171,4000 – 171,6000",nan,1
146,"171,6000 - 174,0000",nan,1
147,"174,0000 - 216,0000",RADIODIFUZIUNE,1
148,"216,0000 - 223,0000",RADIODIFUZIUNE,1
149,"223,0000 - 225,0000",RADIODIFUZIUNE,1
150,"225,0000 -230,0000",RADIODIFUZIUNE,1
151,"225,0000 -230,0000",Mobil terestru,1
152,"225,0000 -230,0000",ECA10,1
153,"225,0000 -230,0000",ECA 36,1
154,"230,0000 - 235,0000","MOBIL
ECA10",1
155,"230,0000 - 235,0000",ECA36,1
156,"235,0000 - 240,0000","MOBIL
5.254",1
157,"235,0000 - 240,0000",ECA10,1
158,"235,0000 - 240,0000",ECA36,1
159,"240,0000 - 242,9500","MOBIL
5.254",1
160,"240,0000 - 242,9500",ECA10,1
161,"240,0000 - 242,9500",ECA36,1
162,"242,9500 - 243,0500",MOBIL AERONAUTIC,1
163,"242,9500 - 243,0500","5.111, 5.254, 5.256",1
164,"243,0500 - 267,0000","MOBIL 5.254
ECA10",1
165,"243,0500 - 267,0000",ECA36,1
166,"267,0000 - 272,0000","MOBIL 5.254
5.257
ECA10 ECA36",1
167,"272,0000 - 273,0000",MOBIL 5.254 ECA10 ECA36,1
168,"273,0000 - 312,0000","MOBIL 5.254 ECA10
ECA36",1
169,"312,0000 - 315,0000","MOBIL 5.254, 5.255 ECA10 ECA36",1
170,"315,0000 - 322,0000","MOBIL 5.254 ECA10
EN 302 617",1
171,"322,0000 - 328,6000","MOBIL RADIOASTRONOMIE 5.149
ECA10 ECA36",1
172,"328,6000 - 335,4000","RADIONAVIGATIE AERONAUTICA
5.258",1
173,"335,4000 - 380,0000",MOBIL 5.254 ECA10 ECA36,1
174,"380,0000 - 385,0000",MOBIL ECA10 ECA36,1
175,"385,0000 – 387,0000",MOBIL 5.254 ECA10 ECA36,1
176,"387,0000 –390,0000",MOBIL ECA10 ECA36,1
177,"390,0000 – 395,0000",MOBIL ECA10 ECA36,1
178,"395,0000 – 399,9000",MOBIL 5.254 ECA10 ECA36,1
179,"399,9000 - 400,0500","MOBIL PRIN SATELIT (Pamânt-
spațiu) 5.209 5.220",1
180,"400,0500 - 400,1500","FRECVENȚE ETALON ȘI SEMNALE ORARE PRIN SATELIT (400,1 MHz)",1
181,"400,0500 - 400,1500",5.261  5.262,1
182,"400,1500 - 401,0000",AUXILIAR METEOROLOGIC,1
183,"400,1500 - 401,0000","METEOROLOGIC PRIN SATELIT
(Pământ-spațiu)",1
184,"400,1500 - 401,0000",MOBIL PRIN SATELIT (spațiu- Pământ) 5.208A  5.208B  5.209,1
185,"400,1500 - 401,0000","CERCETARE SPAȚIALĂ (spațiu-
Pământ) 5.263",1
186,"400,1500 - 401,0000","EXPLOATARE SPAȚIALĂ (spațiu-
Pământ)",1
187,"400,1500 - 401,0000",5.262  5.264,1
188,"401,0000 - 402,0000","EXPLORAREA PAMÂNTULUI
PRIN SATELIT  (Pământ-spațiu)",1
189,"401,0000 - 402,0000",AUXILIAR METEOROLOGIC,1
190,"401,0000 - 402,0000","METEOROLOGIC PRIN SATELIT
(Pământ-spațiu)",1
191,"402,0000 - 403,0000","AUXILIAR METEOROLOGIC
EXPLORAREA PAMINTULUI
PRIN SATELIT  (Pământ-spațiu)
METEOROLOGIC PRIN SATELIT
(Pământ-spațiu)",1
192,"403,0000 – 404,0000",AUXILIAR METEOROLOGIC,1
193,"403,0000 – 404,0000",MOBIL TERESTRU 5.265,1
194,"404,0000 – 405,0000",AUXILIAR METEOROLOGIC 5.265,1
195,"405,0000 – 406,0000",AUXILIAR METEOROLOGIC,1
196,"405,0000 – 406,0000",5.265,1
197,"406,0000 – 406,1000","MOBIL PRIN SATELIT (Pământ-
spațiu)
5.265 5.266 5.267",1
