,freqs,usess,value
107,"3200,00 – 3230,00",FIX,1
108,"3200,00 – 3230,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
109,"3230,00 – 3400,00",FIX,1
110,"3230,00 – 3400,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
111,"3400,00 – 3500,00",MOBIL AERONAUTIC (R),1
112,"3500,00 – 3800,00",AMATOR,1
113,"3500,00 – 3800,00",FIX,1
114,"3500,00 – 3800,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
115,"3800,00 – 3900,00",FIX,1
116,"3800,00 – 3900,00",MOBIL AERONAUTIC (OR),1
117,"3800,00 – 3900,00",MOBIL TERESTRU,1
118,"3900,00 – 3950,00",MOBIL AERONAUTIC (OR),1
119,"3950,00 – 4000,00",FIX,1
120,"3950,00 – 4000,00",RADIODIFUZIUNE,1
121,"4000,00 – 4063,00",FIX,1
122,"4000,00 – 4063,00",MOBIL MARITIM,1
123,"4063,00 – 4438,00",MOBIL MARITIM,1
124,"4438,00 – 4488,00",FIX,1
125,"4438,00 – 4488,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
126,"4438,00 – 4488,00",RADIOLOCAȚIE,1
127,"4488,00 – 4650,00",FIX,1
128,"4488,00 – 4650,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
129,"4650,00 – 4700,00",MOBIL AERONAUTIC (R),1
130,"4700,00 – 4750,00",MOBIL AERONAUTIC (OR),1
131,"4750,00 – 4850,00",MOBIL AERONAUTIC (OR),1
132,"4750,00 – 4850,00",FIX,1
133,"4750,00 – 4850,00",MOBIL TERESTRU,1
134,"4850,00 – 4995,00",FIX,1
135,"4850,00 – 4995,00",MOBIL TERESTRU,1
136,"4995,00 – 5003,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
137,"5003,00 – 5005,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
138,"5003,00 – 5005,00",CERCETARE SPAŢIALĂ,1
139,"5005,00 – 5060,00",FIX,1
140,"5060,00 – 5250,00",FIX,1
141,"5060,00 – 5250,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
142,"5250,00 – 5275,00",FIX,1
143,"5250,00 – 5275,00",RADIOLOCAȚIE,1
144,"5250,00 – 5275,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
145,"5275,00 – 5351,50",FIX,1
146,"5275,00 – 5351,50",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
147,"5351,50 – 5366,50",FIX,1
148,"5351,50 – 5366,50",AMATOR,1
149,"5351,50 – 5366,50",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
150,"5366,50 – 5450,00",FIX,1
151,"5366,50 – 5450,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
152,"5450,00 – 5480,00",FIX,1
153,"5450,00 – 5480,00",MOBIL TERESTRU,1
154,"5450,00 – 5480,00",MOBIL AERONAUTIC (OR),1
155,"5480,00 – 5680,00",MOBIL AERONAUTIC (R),1
156,"5680,00 – 5730,00",MOBIL AERONAUTIC (OR),1
157,"5730,00 – 5900,00",FIX,1
158,"5730,00 – 5900,00",MOBIL TERESTRU,1
159,"5900,00 – 5950,00",RADIODIFUZIUNE,1
160,"5950,00 – 6200,00",RADIODIFUZIUNE,1
161,"6200,00 – 6525,00",MOBIL MARITIM,1
162,"6525,00 – 6685,00",MOBIL AERONAUTIC (R),1
163,"6685,00 – 6765,00",MOBIL AERONAUTIC (OR),1
164,"6765,00 – 6795,00",FIX,1
165,"6765,00 – 6795,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
166,"6795,00 – 7000,00",FIX,1
167,"6795,00 – 7000,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
168,"7000,00 – 7100,00",AMATOR,1
