"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B,,Staţii de sol pe aeronave (AES),,,,,,
,"MOBIL cu excepţia mobil
aeronautic
Mobil prin satelit (Pământ– spaţiu) 5.504B  5.506A 5.509A
Cercetare spaţială (spaţiu– Pământ)","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
5.504A ECA 20",,"Staţii de sol pe nave (ESV)
Stații de sol în mişcare (ESIM)",,,,,,
,5.504A,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (se coordonează cu liniile fixe),,,,,,
,,,,"Stații de sol în serviciul mobil prin
satelit (prioritate pentru reţele civile)",,,,,,
,,,,VSAT (terminale de tip SNG),,,,,,
,,,,Staţii de sol fixe operînd în sisteme NGSO în serviciul fix prin satelit,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"14,47 – 14,50",FIX,"FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.484A 5.506
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
Radioastronomie 5.149 5.504A
ECA 20",,Linii fixe,,,"UIT-R F.636 EN 302 217
ECC/DEC/(05)11 EN 302 186
ECC/DEC/(05)10 EN 302 340
ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980
EN 302 340
EN 301 427
EN 302 977
ERC/REC 13–03
EN 301 428
EN 301 430
ECC/DEC/(17)04 EN 303 980",,G/NG,
,FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.506  5.506B,,,Staţii de sol pe aeronave (AES),,,,,,
,"MOBIL cu excepţia mobil
aeronautic
Mobil prin satelit (Pământ– spaţiu)  5.504B  5.506A 5.509A",,,Staţii de sol pe nave (ESV),,,,,,
,Radioastronomie,,,Stații de sol în mişcare (ESIM),,,,,,
,5.149 5.504A,,,,,,,,,
,,,,"Stații de sol în serviciul fix prin satelit
(se coordonează cu liniile fixe)",,,,,,
,,,,"Stații de sol în serviciul mobil prin
satelit (prioritate pentru reţele civile)",,,,,,
,,,,VSAT (terminale de tip SNG),,,,,,
,,,,Staţii de sol fixe operînd în sisteme NGSO în serviciul fix prin satelit,,,,,,
,,,,"Radioastronomie (observaţii de linii
spectrale, interferometrie VLBI)",,,,,,
"14,50 – 14,543","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.510 5.509B 5.509C 5.509D 5.509E 5.509F
MOBIL
Cercetare spaţială 5.509G","FIX
Radioastronomie ECA 20",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)",,,UIT-R F.636 EN 302 217,,G/NG,
,,,,,,,,,,
,,,,,,,,,,
"14,543 – 14,655","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.510 5.509B 5.509C 5.509D 5.509E 5.509F
MOBIL
Cercetare spaţială 5.509G","FIX
Radioastronomie ECA 20  ECA36",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)
Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre",,,UIT-R F.636 EN 302 217,,G(A)/NG,
"14,655 – 14,75","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.510 5.509B 5.509C 5.509D 5.509E 5.509F
MOBIL
Cercetare spaţială 5.509G","FIX
Radioastronomie",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)",,,UIT-R F.636 EN 302 217,,NG,
"14,75 – 14,80","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.510 MOBIL
Cercetare spaţială 5.509G","FIX
Radioastronomie",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)",,,UIT-R F.636 EN 302 217,,NG,
"14,80 – 14,956","FIX MOBIL
Cercetare spaţială
5.339","FIX
Radioastronomie",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)",,,UIT-R F.636 EN 302 217,,NG,
"14,956 – 15,033","FIX MOBIL
Cercetare spaţială
5.339","FIX
Radioastronomie ECA 20",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)
Sisteme militare (în condițiile agreate între instituțiile care gestionează spectrul radio la nivel național)",,,UIT-R F.636 EN 302 217,,G/G(A)/NG,
,,,,,,,,,,
,,,,,,,,,,
"15,033 – 15,145","FIX MOBIL
Cercetare spaţială
5.339","FIX
Radioastronomie ECA 20 ECA36",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)
Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre",,,UIT-R F.636 EN 302 217,,G(A)/NG,
"15,145 – 15,35","FIX MOBIL
Cercetare spaţială
5.339","FIX
Radioastronomie 5.339",,"Linii fixe
Radioastronomie (interferometrie VLBI, dacă sunt compatibile cu serviciul cu statut primar)",,,UIT-R F.636 EN 302 217,,NG,
"15,35 – 15,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,Senzori pasivi (la bordul sateliţilor),,,,,NG,
,RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv),"RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,"Radioastronomie (observaţii în domeniul continuu, interferometrie VLBI)",,,,,,
,5.340  5.511,5.340,,,,,,,,
"15,40 – 15,43","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F",,"Mijloace auxiliare de navigație Doppler la bordul aeronavelor (radar Doppler cu detecţie la puteri mici)
Radiolocație (civilă) (radare de
detecţie a mişcării la sol)",,,,,G(A)/NG,
"15,43 – 15,63",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,,"Stații de sol în serviciul fix prin satelit (legături de conexiune pentru serviciul mobil prin satelit)
Mijloace auxiliare de navigație Doppler la bordul aeronavelor (radar Doppler cu detecţie la puteri mici)
Radiolocație (civilă) (radare de
detecţie a mişcării la sol)",,,,,G(A)/NG,
,"FIX PRIN SATELIT (Pământ–
spaţiu) 5.511A","FIX PRIN SATELIT (Pământ–
spaţiu)  5.511A",,,,,,,,
,RADIOLOCAȚIE 5.511E 5.511F,RADIOLOCAȚIE 5.511E 5.511F,,,,,,,,
,5.511C,5.511C,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"15,63 – 15,70","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F",,"Mijloace auxiliare de navigație Doppler la bordul aeronavelor (radar Doppler cu detecţie la puteri mici)
Radiolocație (civilă) (radare de
detecţie a mişcării la sol)",,,,,G(A)/NG,
"15,70 – 16,60","RADIOLOCAŢIE
5.512  5.513","RADIOLOCAŢIE
ECA36",,Radiolocație (militară),,,,,G(A),
"16,60 – 17,10","RADIOLOCAŢIE
Cercetare spaţială (spaţiu îndepărtat) (Pământ–spaţiu)
5.512  5.513","RADIOLOCAŢIE
Cercetare spaţială (spaţiu îndepărtat) (Pământ–spaţiu)
ECA36",,Radiolocație (militară),,,,,G(A),
"17,10 – 17,20","RADIOLOCAŢIE
5.512  5.513","RADIOLOCAŢIE
Mobil
ECA36",,"Radiolocație (militară)
Radiodeterminare (sisteme terestre; GBSAR – radar de sol cu sinteză de apertură) (în banda 17,1–17,3 GHz)",,,"ERC/REC 70–03
EN 300 440
Decizia 2009/381/CE (Nota 3)",,G(A)/NG,
"17,20 – 17,30","EXPLORAREA PĂMÂNTULUI PRIN SATELIT (activ)
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.512  5.513  5.513A","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) MOBIL
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.513A ECA36",,"Radiolocație (militară)
Radiodeterminare (sisteme terestre; GBSAR – radar de sol cu sinteză de apertură) (în banda 17,1–17,3 GHz)",,,"ERC/REC 70–03
EN 300 440
Decizia 2009/381/CE (Nota 3)",,G(A)/NG,
,,,,,,,,,,
,,,,,,,,,,
"17,30 – 17,70","FIX PRIN SATELIT (Pământ–
spaţiu) 5.516  (spaţiu–Pământ)
5.516A  5.516B","FIX PRIN SATELIT (Pământ–
spaţiu) 5.516  (spaţiu–Pământ)
5.516A  5.516B",,Legături de conexiune pentru serviciul de radiodifuziune prin satelit (Apendice 30A),,,,,G(A)/NG,
,"Radiolocaţie
5.514","Radiolocaţie
ECA36",,Stații de sol în serviciul fix prin satelit (aplicaţii de mare densitate în serviciul fix prin satelit),,,ECC/DEC/(05)08,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
,,,,Radiolocație (militară),,,,,,
"17,70 – 17,8925","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217",,NG,
,MOBIL,,,Legături de conexiune pentru serviciul de radiodifuziune prin satelit (Apendice 30A),,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,"ERC/DEC/(00)07 EN 301 360
EN 301 459",,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,ECC/DEC/(15)04 EN 303 979,,,
,,,,,,,,,,
,,,,,,,,,,
"17,8925 – 18,10","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217",,G/G(A)/NG,
,MOBIL,,,Legături de conexiune pentru serviciul de radiodifuziune prin satelit (Apendice 30A),,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,"ERC/DEC/(00)07 EN 301 360
EN 301 459",,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
"18,10 – 18,2775","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.520","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  (Pământ– spaţiu) 5.520",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217",,G/G(A)/NG,
,MOBIL,5.519,,Legături de conexiune pentru serviciul de radiodifuziune prin satelit,,,,,,
,5.519 5.521,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,"ERC/DEC/(00)07 EN 301 360
EN 301 459",,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
,,,,,,,,,,
,,,,,,,,,,
"18,2775 – 18,40","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.520","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  (Pământ– spaţiu) 5.520",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217",,NG,
,MOBIL,5.519,,"Legături de conexiune pentru
serviciul de radiodifuziune prin satelit",,,,,,
,5.519 5.521,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,"ERC/DEC/(00)07 EN 301 360
EN 301 459",,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
"18,40 – 18,60",FIX,FIX,,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217
ERC/DEC/(00)07 EN 301 360
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A",,,,,,,,
,MOBIL,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"18,60 – 18,80","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT(pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT(pasiv)",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217
ERC/DEC/(00)07 EN 301 360
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,NG,
,FIX,FIX,,,,,,,,
,"FIX PRIN SATELIT (spaţiu–
Pământ)  5.522B
MOBIL cu excepţia mobil
aeronautic","FIX PRIN SATELIT (spaţiu–
Pământ)  5.522B
5.522A",,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,,,,
,"Cercetare spaţială (pasiv)
5.522A  5.522C",,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,,,,
,,,,"Senzori pasivi (la bordul sateliţilor) (măsurarea emisivităţii de suprafaţă, a zăpezii, mării, a gheţii şi precipitaţiilor)",,,,,,
"18,80 – 18,9025",FIX,FIX,,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217
ERC/DEC/(00)07 EN 301 360
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ)  5.523A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",,,,,,,,
,MOBIL,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"18,9025 – 19,2875",FIX,FIX,,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217
ERC/DEC/(00)07 EN 301 360
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,G/G(A)/NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ)  5.523A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",,,,,,,,
,MOBIL,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,,,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,,,,
"19,2875 – 19,30",FIX,FIX,,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217
ERC/DEC/(00)07 EN 301 360
EN 301 459
ECC/DEC/(13)01 EN 303 978
ECC/DEC/(15)04 EN 303 979",,NG,
,"FIX PRIN SATELIT (spaţiu–
Pământ)  5.523A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.523A",,,,,,,,
,MOBIL,,,,,,,,,
,,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,,,,
,,,,,,,,,,
,,,,,,,,,,
"19,30 – 19,70","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)(Pământ–spaţiu) 5.523B 5.523C 5.523D 5.523E","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)(Pământ–spaţiu) 5.523B 5.523C 5.523D 5.523E",,Linii fixe,,,"UIT-R F.595 ERC/DEC/(00)07 ERC/REC 12–03
EN 302 217",,NG,
,MOBIL,,,Stații de sol în serviciul fix prin satelit (staţii de sol coordonate) (prioritate pentru rețele civile),,,"ERC/DEC/(00)07 EN 301 360
EN 301 459",,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
"19,70 – 20,10","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A",,Stații de sol în serviciul fix prin satelit (aplicaţii de mare densitate în serviciul fix prin satelit),,,"ECC/DEC/(05)08 EN 301 360
EN 301 459",,NG,
,"Mobil prin satelit (spaţiu– Pământ)
5.524",Mobil prin satelit (spaţiu– Pământ),,Stații de sol în serviciul mobil prin satelit (pentru staţii de sol necoordonate – SUT),,,"EN 301 360
EN 301 459",,,
,,,,Terminale de satelit de putere (pire) mare (HEST),,,"ECC/DEC/(06)03 EN 301 360
EN 301 459",,,
,,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,"ECC/DEC/(06)02 EN 301 360
EN 301 459",,,
,,,,"Staţii de sol pe platforme mobile
(ESOMP) operînd în sisteme GSO",,,ECC/DEC/(13)01 EN 303 978,,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi maritime),,,ECC/DEC/(15)04 EN 303 979,,,
,,,,,,,,,,
,,,,,,,,,,
"20,10 – 20,20","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A  5.484B  5.516B 5.527A",,Stații de sol în serviciul fix prin satelit (aplicaţii de mare densitate în serviciul fix prin satelit),,,"ECC/DEC/(05)08 EN 301 360
EN 301 459",,NG,
,"MOBIL PRIN SATELIT (spaţiu–
Pământ)
5.524  5.525  5.526  5.527  5.528","MOBIL PRIN SATELIT (spaţiu–
Pământ)
5.525  5.526  5.527  5.528",,Stații de sol în serviciul mobil prin satelit (pentru staţii de sol necoordonate – SUT),,,"EN 301 360
EN 301 459",,,
,,,,Terminale de satelit de putere (pire) mare (HEST),,,"ECC/DEC/(06)03 EN 301 360
EN 301 459",,,
,,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,"ECC/DEC/(06)02 EN 301 360
EN 301 459",,,
,,,,Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme GSO,,,ECC/DEC/(13)01 EN 303 978,,,
,,,,"Staţii de sol pe platforme mobile (ESOMP) operînd în sisteme NGSO (limitate la stații de sol pe uscat şi
maritime)",,,ECC/DEC/(15)04 EN 303 979,,,
"20,20 – 21,20","FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL PRIN SATELIT (spaţiu–
Pământ)
Frecvenţe etalon şi semnale
orare prin satelit (spaţiu– Pământ)","FIX PRIN SATELIT (spaţiu–
Pământ)
MOBIL PRIN SATELIT (spaţiu–
Pământ)
ECA36",,"Stații de sol în serviciul mobil prin satelit (pentru staţii de sol necoordonate)
Sisteme de comunicaţii prin satelit
(militare)",,,,,G(A)/NG,
,5.524,,,,,,,,,
"21,20 – 21,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","FIX
MOBIL",,"PMSE (camere fără cordon; legături
video punct-la-punct temporare)",,,"ERC/REC 25–10
EN 302 064",,NG,
,"FIX
MOBIL",ECA17A,,Linii fixe unidirecţionale,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"21,40 – 22,00",RADIODIFUZIUNE PRIN SATELIT  5.208B,RADIODIFUZIUNE PRIN SATELIT 5.208B,,"Radiodifuziune prin satelit
PMSE (camere fără cordon; legături
video punct-la-punct temporare)
Linii fixe unidirecţionale
Radare de proximitate (SRR) pentru automobile – componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,"EN 301 360
EN 301 459",,NG,
,FIX MOBIL,FIX MOBIL,,,,,"ERC/REC 25–10
EN 302 064",,,
,5.530A  5.530B  5.530D,5.530A  5.530D,,,,,,,,
,,ECA17A,,,,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
"22,00 – 22,21","FIX
MOBIL cu excepţia mobil
aeronautic 5.149","FIX RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,,5.149,,"Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,,,,,,,
,,,,,,,,,,
"22,21 – 22,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","FIX
RADIOASTRONOMIE",,"Linii fixe
Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)
Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,NG,
,FIX,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic","Explorarea Pământului prin
satelit (pasiv)",,,,,,,,
,RADIOASTRONOMIE,,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),5.149  5.532,,,,,,,,
,5.149 5.532,,,,,,,,,
"22,50 – 22,55",FIX MOBIL,"FIX RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326",,NG,
,,,,"Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)",,,,,,
,,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,,,,,,,
,,,,,,,,,,
"22,55 – 22,60",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,NG,
,INTERSATELIŢI  5.338A,RADIOASTRONOMIE,,,,,,,,
,MOBIL,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,"CERCETARE SPAȚIALĂ
(Pământ–spațiu) 5.532A",INTERSATELIŢI 5.338A,,"Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)",,,,,,
,5.149,,,"Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota
11)",,,,,,
"22,60 – 23,00","FIX
INTERSATELIŢI  5.338A","FIX
MOBIL",,"PMSE (camere fără cordon; legături video punct-la-punct temporare)
Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)
Radare de proximitate (SRR) pentru automobile - componenta de bandă ultralargă (în banda 21,65–24,25 GHz pentru echipamente puse la dispoziție pe piață până la 30.VI.2013 şi în banda 24,25-26,65 GHz pentru echipamente puse la dispoziție pe piață până la 1 ianuarie 2018) (Nota 11)",,,"ERC/REC 25–10
EN 302 064",,NG,
,MOBIL,RADIOASTRONOMIE,,,,,,,,
,"CERCETARE SPAȚIALĂ
(Pământ–spațiu) 5.532A",CERCETARE SPAŢIALĂ (pasiv) INTERSATELIŢI 5.338A,,,,,,,,
,5.149,ECA17A,,,,,"ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,,
,,,,,,,,,,
,,,,,,,,,,
"23,00 – 23,15",FIX,FIX,,Linii fixe,,,"T/R 13–02
EN 302 217
EN 302 326
ECC/DEC/(04)10 ERC/REC 70-03
EN 302 288
Decizia 2005/50/CE (Nota 12)",,NG,
,INTERSATELIŢI  5.338A,RADIOASTRONOMIE,,,,,,,,
,MOBIL,CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,"CERCETARE SPAȚIALĂ
(Pământ–spațiu) 5.532A",INTERSATELIŢI 5.338A,,"Radioastronomie (observaţii în domeniul continuu și de linii spectrale (ale apei), interferometrie VLBI)",,,,,,
