"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
"10,50 – 10,55",FIX,FIX,,Linii fixe,,,"ERC/REC 12–05
EN 302 217
EN 302 326
ERC/REC 25–10
EN 302 064
ERC/REC 70–03
EN 300 440
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,
,MOBIL,Mobil  ECA17A,,,,,,,,
,Radiolocaţie,Radiolocaţie,,FWA (inclusiv punct–multipunct),,,,,,
,,,,"PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz",,,,,,
,,,,"Radiodeterminare (în banda 10,5– 10,6 GHz; în banda 8,5–10,6 GHz pentru aplicaţii TLPR) (decizia Comisiei Europene este aplicabilă numai pentru aplicaţii TLPR)",,,,,,
,,,,Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz) (Nota 8),,,,,,
"10,55 – 10,60",FIX,FIX,,Linii fixe,,,"ERC/REC 12–05
EN 302 217
EN 302 326
ERC/REC 25–10
EN 302 064
ERC/REC 70–03
EN 300 440
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,
,"MOBIL cu excepţia mobil
aeronautic
Radiolocaţie","Mobil cu excepţia mobil
aeronautic  ECA17A
Radiolocaţie",,FWA (inclusiv punct–multipunct),,,,,,
,,,,"PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz",,,,,,
,,,,"Radiodeterminare (în banda 10,5– 10,6 GHz; în banda 8,5–10,6 GHz pentru aplicaţii TLPR) (decizia Comisiei Europene este aplicabilă numai pentru aplicaţii TLPR)",,,,,,
,,,,Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz) (Nota 8),,,,,,
,,,,,,,,,,
,,,,,,,,,,
"10,60 – 10,65","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Linii fixe
FWA (inclusiv punct–multipunct)
PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz
Senzori pasivi (satelit)
(măsurări ale emisivităţii de suprafaţa şi precipitaţiilor)
Radioastronomie
(observații în domeniul continuu şi
interferometrie VLBI)",,,"ERC/REC 12–05
EN 302 217
EN 302 326
ERC/REC 25–10
EN 302 064",,NG,
,FIX,FIX,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,"Mobil cu excepţia mobil
aeronautic","Mobil cu excepţia mobil
aeronautic  ECA17A",,,,,,,,
,Radiolocaţie,Radiolocaţie,,,,,,,,
,5.149 5.482 5.482A,5.149 5.482 5.482A,,,,,,,,
"10,65 – 10,68","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",,"Linii fixe unilaterale
PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz
Senzori pasivi (satelit)
(măsurări ale emisivităţii de suprafaţa şi precipitaţiilor)
Radioastronomie
(observații în domeniul continuu şi
interferometrie VLBI)",,,EN 302 217,,NG,
,FIX RADIOASTRONOMIE,FIX RADIOASTRONOMIE,,,,,"ERC/REC 25–10
EN 302 064",,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,
,"Mobil cu excepţia mobil
aeronautic","Mobil cu excepţia mobil
aeronautic  ECA17A",,,,,,,,
,Radiolocaţie,Radiolocaţie,,,,,,,,
,5.149 5.482 5.482A,5.149 5.482 5.482A,,,,,,,,
"10,68 – 10,70","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340 5.483","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",,"Senzori pasivi (satelit) (măsurări ale emisivităţii de suprafaţa şi precipitaţiilor)
Radioastronomie
(observații în domeniul continuu şi
interferometrie VLBI)",,,,,NG,
,,,,,,,,,,
,,,,,,,,,,
"10,70 – 10,95","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441  (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441   (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic",,"Linii fixe (de mare capacitate)
Staţii de sol pe aeronave (AES)",,,"UIT-R F.387 ERC/DEC/(00)08 EN 302 217
ECC/DEC/(05)11 EN 302 186",,G(A)/NG,
,,Mobil prin satelit (spaţiu– Pământ),,Staţii de sol pe nave (ESV),,,ECC/DEC/(05)10 EN 302 340,,,
,,,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Stații de sol în serviciul fix prin satelit (în benzile 10,7–10,95 / 11,2–11,45 GHz conform Apendicelui 30B) (terminale interactive prin satelit (SIT), terminale de utilizator prin satelit (SUT), VSAT)",,,"ERC/DEC/(00)08 EN 301 427
EN 301 428
EN 301 430
EN 301 459
EN 301 360",,,
,,,,Terminale de satelit de putere (pire) mare (HEST),,,"ECC/DEC/(06)03 EN 301 428
EN 301 459",,,
,,,,"Terminale de satelit de putere (pire)
mică (LEST)",,,"ECC/DEC/(06)02 EN 301 428
EN 301 459",,,
,,,,Staţii de sol fixe operînd în sisteme NGSO în serviciul fix prin satelit,,,ECC/DEC/(17)04 EN 303 980,,,
,,,,Sisteme militare,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"10,95 – 11,20","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic",,"Linii fixe (de mare capacitate)
Staţii de sol pe aeronave (AES)",,,"UIT-R F.387 ERC/DEC/(00)08 EN 302 217
ECC/DEC/(05)11 EN 302 186",,G(A)/NG,
,,,,Staţii de sol pe nave (ESV),,,ECC/DEC/(05)10 EN 302 340,,,
,,,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,ECC/DEC/(17)04 EN 303 980,,,
,,,,Sisteme militare,,,,,,
"11,20 – 11,45","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441 (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441 (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic",,"Linii fixe (de mare capacitate)
Staţii de sol pe aeronave (AES)",,,"UIT-R F.387 ERC/DEC/(00)08 EN 302 217
ECC/DEC/(05)11 EN 302 186",,G(A)/NG,
,,,,Staţii de sol pe nave (ESV),,,ECC/DEC/(05)10 EN 302 340,,,
,,,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,ECC/DEC/(17)04 EN 303 980,,,
,,,,Sisteme militare,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"11,45 – 11,70","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic",,"Linii fixe (de mare capacitate)
Staţii de sol pe aeronave (AES)",,,"UIT-R F.387 ERC/DEC/(00)08 EN 302 217
ECC/DEC/(05)11 EN 302 186",,G(A)/NG,
,,,,Staţii de sol pe nave (ESV),,,ECC/DEC/(05)10 EN 302 340,,,
,,,,Stații de sol în mişcare (ESIM),,,"ECC/DEC/(18)04 ECC/DEC/(18)05 EN 302 448
EN 302 977
EN 303 980",,,
,,,,"Staţii de sol fixe operînd în sisteme
NGSO în serviciul fix prin satelit",,,ECC/DEC/(17)04 EN 303 980,,,
,,,,Sisteme militare,,,,,,
