"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"112,00 – 115,00",RADIONAVIGAŢIE  5.60,RADIONAVIGAŢIE  5.60,"Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,ECA36,,,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
"115,00 – 117,60","RADIONAVIGAŢIE  5.60
Fix","RADIONAVIGAŢIE  5.60
Fix","Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,Mobil maritim,Mobil maritim,,,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,5.64  5.66,"5.64
ECA36",Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
"117,60 – 126,00","FIX
MOBIL MARITIM","FIX
MOBIL MARITIM","Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,RADIONAVIGAŢIE  5.60,RADIONAVIGAŢIE  5.60,,,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,5.64,"5.64
ECA36",Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
"126,00 – 129,00",RADIONAVIGAŢIE  5.60,RADIONAVIGAŢIE  5.60,"Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,ECA36,,,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
"129,00 – 130,00","FIX
MOBIL MARITIM","FIX
MOBIL MARITIM","Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,RADIONAVIGAŢIE  5.60,RADIONAVIGAŢIE  5.60,,,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,5.64,"5.64
ECA36",Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
"130,00 – 135,70","FIX
MOBIL MARITIM
5.64  5.67","FIX
MOBIL MARITIM
5.64","Aplicaţii inductive (în banda 9–148,5 kHz)
Sisteme militare terestre",,,"ERC/REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)",,,,G(A)/NG,
,,ECA36,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"135,70 – 137,80",FIX,FIX,"Amator (135,7–137,8 kHz)",,,"EN 301 783
ERC/REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,"MOBIL MARITIM
Amator  5.67A","MOBIL MARITIM
Amator  5.67A","Aplicaţii inductive (în banda 9–148,5 kHz)",,,,,,,,
,5.67B,"5.64
ECA36",Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,,,,,,
