"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"5730,00 – 5900,00","FIX
MOBIL TERESTRU","FIX
MOBIL TERESTRU
ECA36","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
"5900,00 – 5950,00","RADIODIFUZIUNE  5.134
5.136","RADIODIFUZIUNE  5.134
5.136",Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"5950,00 – 6200,00",RADIODIFUZIUNE,RADIODIFUZIUNE,Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"6200,00 – 6525,00","MOBIL MARITIM  5.109  5.110
5.130  5.132","MOBIL MARITIM  5.109  5.110
5.130  5.132","Apel DSC (6312,5; 6313; 6313,5;
6331; 6331,5; 6332 kHz)",,,"EN 302 885
EN 303 402",,,,G(A)/NG,
,5.137,"5.137
ECA36",Trafic DSC de primejdie (6312 kHz),,,"EN 302 885
EN 303 402",,,,,
,,,"Radiocomunicații maritime (Plan de canale - Apendicele 17; Plan de alocări de frecvenţe - Apendicele 25) Informaţii pentru siguranţă maritimă (MSI) (6314 kHz)
Trafic telefonic de primejdie şi apel cu centrele de salvare (6215 kHz) Trafic telex de primejdie (6268 kHz)",,,"EN 303 402
EN 303 402
EN 303 402
EN 303 402",,,,,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare maritime,,,,,,,,
"6525,00 – 6685,00",MOBIL AERONAUTIC (R),"MOBIL AERONAUTIC (R)
ECA36","Comunicații aeronautice (Planul de alocare din Apendicele 27, inclusiv planul pentru legăturile de date HF)",,,,,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"6685,00 – 6765,00",MOBIL AERONAUTIC (OR),MOBIL AERONAUTIC (OR),"Comunicații aeronautice (Planul de
alocare din Apendicele 26)",,,,,,,G(A)/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
"6765,00 – 6795,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)","FIX
MOBIL cu excepţia mobil
aeronautic","Aplicaţii inductive (în banda 148,5 kHz–30 MHz şi în banda 6765–6795 kHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2006/771/CE (Nota 1)",,,,G(A)/G/NG,
,5.138,"5.138
ECA36","Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,ISM (în banda 6765–6795 kHz),,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"6795,00 – 7000,00","FIX
MOBIL cu excepţia mobil aeronautic (R)","FIX
MOBIL cu excepţia mobil
aeronautic","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
,5.138A,5.128A ECA36,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"7000,00 – 7100,00",AMATOR,AMATOR,Amator,,,EN 301 783,,,,NG,
,"AMATOR PRIN SATELIT
5.140  5.141  5.141A",AMATOR PRIN SATELIT,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"7100,00 – 7200,00",AMATOR,AMATOR,Amator,,,EN 301 783,,,,NG,
,5.141A  5.141B,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
"7200,00 – 7300,00",RADIODIFUZIUNE,RADIODIFUZIUNE,Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"7300,00 – 7400,00",RADIODIFUZIUNE  5.134,RADIODIFUZIUNE  5.134,Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale),,,"EN 302 017
EN 302 245",,,,NG,
,"5.143  5.143A  5.143B  5.143C
5.143D",5.143,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"7400,00 – 7450,00",RADIODIFUZIUNE,RADIODIFUZIUNE,Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,5.143B  5.143C,5.143B,"Aplicaţii inductive (în banda 7400– 8800 kHz şi în banda 148,5 kHz–30 MHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"7450,00 – 8100,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)","FIX
MOBIL cu excepţia mobil
aeronautic (R)","Aplicaţii inductive (în banda 7400– 8800 kHz şi în banda 148,5 kHz–30 MHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
,5.143E  5.144,ECA36,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"8100,00 – 8195,00","FIX
MOBIL MARITIM","FIX
MOBIL MARITIM
ECA36","Aplicaţii inductive (în banda 7400– 8800 kHz şi în banda 148,5 kHz–30 MHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Comunicații maritime (Planul de canalizare din Apendicele 17),,,EN 303 402,,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"8195,00 – 8815,00","MOBIL MARITIM  5.109  5.110
5.132  5.145","MOBIL MARITIM  5.109  5.110
5.132  5.145","Apel DSC (8415; 8415.5;8416;
8436,5; 8437; 8437,5 kHz)",,,"EN302 885
EN 303 402",,,,G(A)/NG,
,5.111,5.111,"Trafic DSC de primejdie (8414,5 kHz)",,,,,,,,
,,ECA36,"Aplicaţii inductive (în banda 7400– 8800 kHz şi în banda 148,5 kHz–30 MHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Comunicații maritime (Planul de canalizare din Apendicele 17; Planul de alocare din Apendicele 25),,,EN 303 402,,,,,
,,,"Informaţii pentru siguranţă maritimă
(8416,5 kHz)",,,,,,,,
,,,Trafic radiotelefonic de primejdie şi siguranță (8291 kHz),,,EN 303 402,,,,,
,,,"Trafic telex de primejdie (8376,5 kHz)",,,,,,,,
"8815,00 – 8965,00",MOBIL AERONAUTIC (R),MOBIL AERONAUTIC (R) ECA36,"Comunicații aeronautice (Planul de alocare din Apendicele 27, inclusiv legăturile de date în HF)",,,,,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"8965,00 – 9040,00",MOBIL AERONAUTIC (OR),"MOBIL AERONAUTIC (OR)
ECA36","Comunicații aeronautice (Planul de
alocare din Apendicele 26)",,,,,,,G(A)/NG,
,,,Aplicaţii militare,,,,,,,,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
"9040,00 – 9305,00",FIX,"FIX
ECA36","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
"9305,00 – 9355,00","FIX
Radiolocație 5.145A","FIX
Radiolocație 5.145A","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,5.145B,,,,,,,,,,
,,ECA36,,,,,,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,,,,,,
,,,Sisteme militare terestre,,,,,,,,
"9355,00 – 9400,00",FIX,"FIX
ECA36","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/NG,
,,,"Aplicaţii căi ferate (în banda 7300-
23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"9400,00 – 9500,00","RADIODIFUZIUNE  5.134
5.146","RADIODIFUZIUNE  5.134
5.146",Radiodifuziune (Procedura de planificare din Articolul 12; Bandă WARC 92; schimbarea de utilizare a benzii este efectivă de la 01.04.2007; vor fi introduse sisteme digitale),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"9500,00 – 9900,00","RADIODIFUZIUNE
5.147","RADIODIFUZIUNE
5.147",Radiodifuziune sonoră (Procedura de planificare din Articolul 12.Vor fi introduse sisteme digitale),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"9900,00 – 9995,00",FIX,"FIX
ECA36","Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"9995,00 – 10003,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (10000
kHz)","FRECVENŢE ETALON ŞI
SEMNALE ORARE (10000
kHz)","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,NG,
,5.111,5.111,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"10003,00 – 10005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială","Comunicaţii de căutare şi salvare (SAR) (10003 kHz ± 3 kHz, pentru vehicule spaţiale cu echipaj uman)",,,,,,,NG,
,5.111,5.111,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"10005,00 – 10100,00","MOBIL AERONAUTIC (R)
5.111","MOBIL AERONAUTIC (R)
5.111","Comunicații aeronautice (Planul de alocare din Apendicele 27, inclusiv legăturile de date în HF)",,,,,,,G(A)/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"10100,00 – 10150,00",FIX,FIX,Amator,,,EN 301 783,,,,G(A)/NG,
,Amator,"Amator
ECA36","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300-
23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
"10150,00 – 11175,00","FIX
Mobil cu excepţia mobil
aeronautic (R)","FIX
Mobil cu excepţia mobil
aeronautic (R)","Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,G(A)/G/NG,
,,ECA36,"Aplicaţii inductive (în banda 10200– 11000 kHz şi în banda 148,5 kHz–30 MHz conform deciziei Comisiei Europene)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
"11175,00 – 11275,00",MOBIL AERONAUTIC (OR),MOBIL AERONAUTIC (OR),"Comunicații aeronautice (Planul de
alocare din Apendicele 26)",,,,,,,G(A)/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"11275,00 – 11400,00",MOBIL AERONAUTIC (R),"MOBIL AERONAUTIC (R)
ECA36","Comunicații aeronautice (Planul de alocare din Apendicele 27, inclusiv legăturile de date în HF)",,,,,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
"11400,00 – 11600,00",FIX,FIX,Aplicaţii militare,,,,,,,G(A)/G/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
"11600,00 – 11650,00","RADIODIFUZIUNE  5.134
5.146","RADIODIFUZIUNE  5.134
5.146",Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale.)),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"11650,00 – 12050,00","RADIODIFUZIUNE
5.147","RADIODIFUZIUNE
5.147",Radiodifuziune (Procedura de planificare din Articolul 12.Vor fi introduse sisteme digitale.),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"12050,00 – 12100,00","RADIODIFUZIUNE  5.134
5.146","RADIODIFUZIUNE  5.134
5.146",Radiodifuziune sonoră (Procedura de planificare din Articolul 12. Vor fi introduse sisteme digitale),,,"EN 302 017
EN 302 245",,,,NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
"12100,00 – 12230,00",FIX,"FIX
ECA36","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"12230,00 – 13200,00","MOBIL MARITIM 5.109 5.110
5.132 5.145","MOBIL MARITIM 5.109 5.110
5.132 5.145","Apel DSC (12577,5; 12578; 12578,5;
12657; 12657,5;12658 kHz)",,,"EN 302 885
EN 303 402",,,,G(A)/NG,
,,,DSC trafic de primejdie (12577 kHz),,,,,,,,
,,ECA36,Comunicații maritime (Planul de canalizare din Apendicele 17; Planul de alocare din Apendicele 25),,,EN 303 402,,,,,
,,,"Informaţii pentru siguranţă maritimă
(12579 kHz)",,,,,,,,
,,,Trafic radiotelefonic de primejdie şi siguranță (12290 kHz),,,EN 303 402,,,,,
,,,Trafic telex de primejdie (12520 kHz),,,,,,,,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare maritime,,,,,,,,
"13200,00 – 13260,00",MOBIL AERONAUTIC (OR),MOBIL AERONAUTIC (OR),Comunicații aeronautice (Planul de alocare din Apendicele 26),,,,,,,G(A)/NG,
,,ECA36,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"13260,00 – 13360,00",MOBIL AERONAUTIC (R),"MOBIL AERONAUTIC (R)
ECA36","Comunicații aeronautice (Planul de alocare din Apendicele 27, inclusiv legăturile de date în HF)",,,,,,,G(A)/NG,
,,,"Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare aeronautice,,,,,,,,
"13360,00 – 13410,00",FIX,FIX,Aplicaţii militare,,,,,,,G(A)/G/NG,
,RADIOASTRONOMIE,RADIOASTRONOMIE,"Radioastronomie (observații
continue)",,,,,,,,
,5.149,"5.149
ECA36","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,"Aplicaţii căi ferate (în banda 7300- 23000 kHz, frecvenţă centrală
13.547 MHz / sistemul Euroloop)",,,"ERC REC 70–03
EN 302 609
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
"13410,00 – 13450,00","FIX
Mobil cu excepţia mobil
aeronautic (R)","FIX
Mobil cu excepţia mobil
aeronautic (R)","Aplicaţii inductive (în banda 148,5
kHz–30 MHz)",,,"ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,G(A)/G/NG,
