,freqs,usess,value
125,"21,40 – 22,00",5.530A  5.530D,1
126,"21,40 – 22,00",ECA17A,1
127,"22,00 – 22,21","FIX RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",1
128,"22,00 – 22,21",5.149,1
129,"22,21 – 22,50","FIX
RADIOASTRONOMIE",1
130,"22,21 – 22,50",CERCETARE SPAŢIALĂ (pasiv),1
131,"22,21 – 22,50","Explorarea Pământului prin
satelit (pasiv)",1
132,"22,21 – 22,50",5.149  5.532,1
133,"22,50 – 22,55","FIX RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",1
134,"22,55 – 22,60",FIX,1
135,"22,55 – 22,60",RADIOASTRONOMIE,1
136,"22,55 – 22,60",CERCETARE SPAŢIALĂ (pasiv),1
137,"22,55 – 22,60",INTERSATELIŢI 5.338A,1
138,"22,60 – 23,00","FIX
MOBIL",1
139,"22,60 – 23,00",RADIOASTRONOMIE,1
140,"22,60 – 23,00",CERCETARE SPAŢIALĂ (pasiv) INTERSATELIŢI 5.338A,1
141,"22,60 – 23,00",ECA17A,1
142,"23,00 – 23,15",FIX,1
143,"23,00 – 23,15",RADIOASTRONOMIE,1
144,"23,00 – 23,15",CERCETARE SPAŢIALĂ (pasiv),1
145,"23,00 – 23,15",INTERSATELIŢI 5.338A,1
146,"23,15 – 23,55","FIX
INTERSATELIŢI 5.338A",1
147,"23,55 – 23,60","FIX
INTERSATELIŢI",1
148,"23,60 – 24,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",1
149,"23,60 – 24,00",5.340,1
150,"24,00 – 24,05",AMATOR,1
151,"24,00 – 24,05","AMATOR PRIN SATELIT
Mobil",1
152,"24,00 – 24,05",5.150,1
153,"24,05 – 24,25","RADIOLOCAŢIE
Amator
Explorarea Pământului prin
satelit (activ)
Fix",1
154,"24,05 – 24,25",Mobil,1
155,"24,05 – 24,25","5.150
ECA36",1
156,"24,25 – 24,45",FIX,1
157,"24,25 – 24,45",MOBIL,1
158,"24,45 – 24,50",FIX,1
159,"24,45 – 24,50",MOBIL,1
160,"24,50 – 24,65",FIX,1
161,"24,50 – 24,65",MOBIL,1
162,"24,65 – 24,75",FIX,1
163,"24,65 – 24,75","FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B",1
164,"24,65 – 24,75",MOBIL,1
165,"24,75 – 25,25",FIX,1
166,"24,75 – 25,25","FIX PRIN SATELIT (Pământ–
spaţiu) 5.532B",1
167,"24,75 – 25,25",MOBIL,1
168,"25,25 – 25,50",FIX,1
169,"25,25 – 25,50",INTERSATELIŢI 5.536,1
170,"25,25 – 25,50",MOBIL,1
171,"25,50 –26,50","FIX
INTERSATELIŢI 5.536 MOBIL
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C
Explorarea Pământului prin satelit (spaţiu–Pământ) 5.536B
5.536A ECA36",1
172,"26,50 – 27,00","FIX
INTERSATELIŢI 5.536 MOBIL
CERCETARE SPAŢIALĂ
(spaţiu–Pământ) 5.536C
Explorarea Pământului prin satelit (spaţiu–Pământ) 5.536B
5.536A ECA36",1
173,"27,00 – 27,50","FIX
INTERSATELIŢI 5.536",1
174,"27,00 – 27,50","MOBIL
Explorarea Pământului prin satelit (spaţiu–Pământ)",1
175,"27,00 – 27,50",ECA36,1
176,"27,50 – 28,2485","FIX
FIX PRIN SATELIT (Pământ– spaţiu)  5.484A 5.516B 5.539",1
177,"27,50 – 28,2485",5.538  5.540,1
178,"28,2485 – 28,50","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.539",1
179,"28,2485 – 28,50",5.540,1
180,"28,50 – 29,10","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.484A 5.516B 5.523A 5.539
Explorarea Pământului prin
satelit (Pământ–spaţiu) 5.541",1
181,"28,50 – 29,10",5.540,1
182,"29,10 – 29,2565",FIX,1
183,"29,10 – 29,2565","FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541",1
184,"29,10 – 29,2565",5.540,1
185,"29,2565 – 29,50",FIX,1
186,"29,2565 – 29,50","FIX PRIN SATELIT (Pământ– spaţiu) 5.516B 5.523C 5.523E 5.535A 5.539 5.541A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541",1
187,"29,2565 – 29,50",5.540,1
188,"29,50 – 29,90","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
Explorarea Pământului prin satelit (Pământ–spaţiu) 5.541
Mobil prin satelit (Pământ– spaţiu)
5.540",1
189,"29,90 – 30,00","FIX PRIN SATELIT (Pământ– spaţiu) 5.484A  5.516B  5.539 5.484B 5.527A
MOBIL PRIN SATELIT (Pământ–
spaţiu)
EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (Pământ–spaţiu) 5.541  5.543",1
190,"29,90 – 30,00",5.525  5.526  5.527  5.538  5.540,1
191,"30,00 – 31,00","FIX PRIN SATELIT (Pământ–
spaţiu) 5.338A",1
192,"30,00 – 31,00","MOBIL PRIN SATELIT (Pământ–
spaţiu)
ECA36",1
193,"31,00 – 31,30","FIX 5.338A
5.149",1
194,"31,30 – 31,50","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",1
195,"31,50 – 31,80","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE CERCETARE SPAŢIALĂ (pasiv)
Fix
Mobil cu excepţia mobil
aeronautic 5.149  5.546",1
196,"31,80 – 32,00","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547  5.548",1
197,"32,00 – 32,30","FIX 5.547A
RADIONAVIGAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (spaţiu–Pământ)
5.547 5.548",1
198,"32,30 – 33,00","FIX 5.547A
INTERSATELIŢI RADIONAVIGAŢIE
5.547  5.548",1
199,"33,00 – 33,40","FIX 5.547A
INTERSATELIŢI RADIONAVIGAŢIE
5.547",1
200,"33,40 – 34,20","RADIOLOCAŢIE
ECA36",1
201,"34,20 – 34,70","RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (spaţiu
îndepărtat) (Pământ–spaţiu)
ECA36",1
202,"34,70 – 35,20","RADIOLOCAŢIE
Cercetare spaţială
ECA36",1
203,"35,20 – 35,50","AUXILIAR METEOROLOGIC
RADIOLOCAŢIE
ECA36",1
204,"35,50 – 36,00","AUXILIAR METEOROLOGIC
EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.549A ECA36",1
205,"36,00 – 37,00",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (pasiv),1
206,"36,00 – 37,00",FIX,1
207,"36,00 – 37,00",MOBIL,1
208,"36,00 – 37,00",CERCETARE SPAŢIALĂ (pasiv),1
209,"36,00 – 37,00",Radioastronomie,1
210,"36,00 – 37,00",5.149  5.550A,1
211,"37,00 – 37,50","FIX
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)",1
212,"37,00 – 37,50",5.547,1
213,"37,50 – 37,618","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
214,"37,50 – 37,618","CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",1
215,"37,50 – 37,618",Explorarea Pământului prin satelit (spaţiu–Pământ),1
216,"37,50 – 37,618",5.547,1
217,"37,618 – 38,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
218,"37,618 – 38,00","CERCETARE SPAŢIALĂ
(spaţiu–Pământ)",1
219,"37,618 – 38,00",Explorarea Pământului prin satelit (spaţiu–Pământ),1
220,"37,618 – 38,00",5.547,1
221,"38,00 – 38,318","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
222,"38,00 – 38,318","Explorarea Pământului prin
satelit (spaţiu–Pământ)",1
223,"38,00 – 38,318",5.547,1
224,"38,318 – 38,878","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
225,"38,318 – 38,878",Explorarea Pământului prin satelit (spaţiu–Pământ),1
226,"38,318 – 38,878",5.547,1
227,"38,878 – 39,50","FIX
FIX PRIN SATELIT (spaţiu–
Pământ)",1
228,"38,878 – 39,50",Explorarea Pământului prin satelit (spaţiu–Pământ),1
229,"38,878 – 39,50",5.547,1
230,"39,50 – 40,00","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)
Explorarea Pământului prin
satelit (spaţiu–Pământ)
5.547",1
231,"40,00 – 40,50","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.516B MOBIL
MOBIL PRIN SATELIT (spaţiu–
Pământ)
CERCETARE SPAŢIALĂ
(Pământ–spaţiu)
Explorarea Pământului prin satelit (spaţiu–Pământ)",1
232,"40,50 – 41,00",RADIODIFUZIUNE,1
233,"40,50 – 41,00",RADIODIFUZIUNE PRIN SATELIT,1
