"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,5.265,,,,,,,,,,
,,,,,Implanturi medicale active de putere foarte mică (ULP-AMI în banda 401-406 MHz),,,,,,
,,,,,Radiosonde meteorologice,,,,,,
"404,0000 – 405,0000",,AUXILIAR METEOROLOGIC 5.265,,,Implanturi medicale active de putere foarte mică (ULP-AMI în banda 401-406 MHz),"ERC/DEC/(01)17 EN 301 839
Decizia 2006/771/CE (Nota 1)",,,,NG,
,,,,,Radiosonde meteorologice,EN 302 054,,,,,
"405,0000 – 406,0000",,AUXILIAR METEOROLOGIC,,,Sisteme militare,,,,,G(A),
,,5.265,,,Implanturi medicale active de putere foarte mică (ULP-AMI in banda 401-406 MHz),"ERC/DEC/(01)17 EN 302 537
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,Radiosonde meteorologice,EN 302 054,,,,,
"406,0000 – 406,1000","MOBIL PRIN SATELIT
(Pământ-spațiu) 5.265 5.266 5.267","MOBIL PRIN SATELIT (Pământ-
spațiu)
5.265 5.266 5.267",,,"EPIRB
(Bandă disponibilă numai pentru
primejdie şi siguranţă)","EN 300 066
EN 302 152",,,,G(A)/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"406,1000 – 408,0000","FIX
MOBIL cu excepția mobil aeronautic
RADIOASTRONOMIE 5.149
5.265","MOBIL TERESTRU RADIOASTRONOMIE 5.149
5.265
ECA36",,,"Sisteme militare terestre Sisteme militare maritime
Aplicaţii pentru radioastronomie
(Măsurări în domeniul continuu,VLBI)",,,,,G(A) / NG,
"408,0000 – 410,0000",,,,,"PMR/PAMR de bandă îngustă
Aplicaţii pentru radioastronomie (Măsurări în domeniul continuu,VLBI)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"410,0000 – 411,0000","FIX
MOBIL cu excepția mobil aeronautic
CERCETARE SPAȚIALĂ
(spațiu-spațiu) 5.268","MOBIL cu exceptia mobil aeronautic
ECA36",,,"PMR/PAMR de bandă îngustă
(410,000-410,0000 MHz pentu
emisia stației mobile, pereche cu 420,0000 – 421,0000 MHz)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166,
EN 302 561,  EN 303 039",,,,NG,
"410,1000 – 415,0000",,,,,PMR/PAMR ECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086, EN 300 113
EN 300 219, EN 300 296
EN 300 341, EN 300 390
EN 300 471, EN 301 166
EN 302 561, EN 303 039",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"415,0000 – 420,0000",,,,,"Sisteme militare terestre Sisteme militare maritime
PMR/PAMR de bandă îngustă","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166,
EN 302 561,  EN 303 039",,,,G(A)/NG,
"420,0000 – 421,0000","FIX
MOBIL cu excepția mobil aeronautic
Radiolocație 5.269
5.270
5.271","MOBIL cu excepția mobil aeronautic
Radiolocație ECA7 ECA36",,,"PMR/PAMR de bandă îngustă
(420,0000-421,0000 MHz pentru
emisia stației de bază, pereche cu 410,0000 – 411,0000 MHz)
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166,
EN 302 561,  EN 303 039",,,,NG,
"421,0000 – 425,0000",,,,,PMR/PAMR ECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086, EN 300 113
EN 300 219, EN 300 296
EN 300 341, EN 300 390
EN 300 471, EN 301 166
EN 302 561, EN 303 039",,,,NG,
"425,0000 – 429,8000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166,
EN 302 561,  EN 303 039",,,,NG,
"429,8000 – 430,0000",,,,,Sisteme paging existente,,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"430,0000 – 432,0000","AMATOR
RADIOLOCAȚIE","AMATOR
RADIOLOCAȚIE",,,"Aplicaţii pentru amatori (în banda 431,200-432,000 MHz)",EN 301 783,,,,NG,
,"5.271  5.274  5.275  5.276
5.277","MOBIL TERESTRU 5.277
ECA12",,,"PMR de bandă îngustă (în banda
430,000-431,200 MHz)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,"Dispozitive pentru achiziția
datelor medicale
(în banda 430-440 MHz, pentru ULP-WMCE)","ERC/REC 70-03
EN 303 520
Decizia 2019/1345/UE (Nota 15)",,,,,
"432,0000 – 433,0500",AMATOR,AMATOR,,,"Senzori activi (satelit) (în conformitate cu
Recomandarea ITU-R SA 1260-1)
Aplicaţii pentru amatori Dispozitive pentru achiziția
datelor medicale
(în banda 430-440 MHz, pentru ULP-WMCE)",,,,,NG,
,RADIOLOCAȚIE,RADIOLOCATIE,,,,,,,,,
,Explorarea Pământului prin satelit (activ)  5.279A,"Explorarea Pământului prin satelit (activ) 5.279A
5.277",,,,EN 301 783,,,,,
,"5.138  5.271  5.276 5.277
5.280",ECA12,,,,"ERC/REC 70-03
EN 303 520
Decizia 2019/1345/UE (Nota 15)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"433,0500 – 434,7900","AMATOR RADIOLOCATIE
Explorarea Pământului prin satelit (activ)  5.279A","AMATOR RADIOLOCAȚIE
Mobil terestru
Explorarea Pământului prin satelit (activ) 5.279A",,,Senzori activi (la bordul sateliților) (utilizarea benzii de către senzori în EESS (activ) va fi în conformitate cu Recomandarea UIT-R SA 1260-1),EN 301 783,,,,NG,
,5.138  5.271  5.276,5.138,,,Aplicaţii pentru amatori,,,,,,
,5.277  5.280  5.281,"5.277
ECA12",,,ISM,,,,,,
,,,,,"SRD nespecifice
(în benzile 433,05-434,79 MHz şi
434,04-434,79 MHz)","ERC/REC 70-03
EN 300 220
Decizia 2006/771/CE (Nota 1)",,,,,
,,,,,"Dispozitive pentru achiziția datelor medicale (în banda 430- 440 MHz, pentru ULP-WMCE)","ERC/REC 70-03
EN 303 520
Decizia 2019/1345/UE (Nota 15)",,,,,
"434,7900 – 438,0000","AMATOR
RADIOLOCAȚIE
Explorarea pamintului prin satelit (activ)  5.279A","AMATOR
AMATOR PRIN SATELIT
RADIOLOCAȚIE
Explorarea Pământului prin satelit (activ) 5.279A",,,"Senzori activi (satelit)
(Utilizarea acestei benzi de către senzori în EESS (activ) va fi în concordanţă cu Recomandarea UIT-R SA 1260-1)",,,,,G(A)/NG,
,"5.138  5.271  5.276  5.277
5.280  5.282","5.277
ECA12",,,Aplicaţii pentru amatori (în banda 430-440 MHz),EN 301 783,,,,,
,,,,,Aplicaţii prin satelit pentru amatori (Serviciul amator prin satelit restricţionat la 435-438 MHz),,,,,,
,,,,,"Dispozitive pentru achiziția
datelor medicale
(în banda 430-440 MHz, pentru ULP-WMCE)","ERC/REC 70-03
EN 303 520
Decizia 2019/1345/UE (Nota 15)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"438,0000 – 440,0000","AMATOR
RADIOLOCAȚIE
5.271   5.274  5.275  5.276
5.277  5.283","AMATOR
RADIOLOCAȚIE 5.277
ECA12",,,"Aplicaţii pentru amatori (în banda
430-440 MHz)
Dispozitive pentru achiziția
datelor medicale
(în banda 430-440 MHz, pentru ULP-WMCE)","EN 301 783
ERC/REC 70-03
EN 303 520
Decizia 2019/1345/UE (Nota 15)",,,,NG,
"440,0000 – 442,5000","FIX
MOBIL cu excepția mobil aeronautic
Radiolocație
5.269  5.270  5.271  5.284
5.285  5.286","MOBIL cu excepția mobil aeronautic
Radiolocație ECA7 ECA36",,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086, EN 300 113
EN 300 219, EN 300 296
EN 300 341, EN 300 390
EN 300 471, EN 301 166
EN 302 561, EN 303 039",,,,NG,
"442,5000 – 444,0000",,,,,"Sisteme militare terestre Sisteme militare maritime ECA36
PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,G(A)/NG,
"444,0000 – 445,0000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,,,,,,,
,,,,,,,,,,,
"445,0000 – 446,0000",,,,,Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A)/NG,
,,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
"446,0000 – 447,5000",,,,,"PMR 446 (în banda 446,0000 - 446,2000 MHz)","ECC/DEC/(15)05 ERC/REC 70-03
EN 303 405
Decizia 2017/1483/UE (Nota 14)",,,,NG,
,,,,,"PMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
"447,5000 – 449,0000",,,,,Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A) / NG,
,,,,,PMR/PAMR de bandă îngustăECA7,"ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"449,0000 - 450,0000",,,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"450,0000 – 450,5500","FIX
MOBIL  5.286AA
5.209  5.271  5.286  5.286A
5.286B  5.286C  5.286D
5.286E",MOBIL ECA7,,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"450,5500 – 452,0000",,,,,Sisteme militare,,,,,G(A),
"452,0000 – 453,0000",,,,,"PPDR
(BB-PPDR în banda 452,0-457,5
MHz pereche cu 462,0-467,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
"453,0000 – 455,0000",,,,,"PPDR
(BB-PPDR în banda  452,0-457,5
MHz pereche cu 462,0 – 467,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
"455,0000-456,0000","FIX
MOBIL  5.286AA
5.209  5.271  5.286A  5.286B
5.286C  5.286E",MOBIL ECA7,,,"PPDR
(BB-PPDR în banda  452,0-457,5
MHz pereche cu 462,0 – 467,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"456,0000 – 457,5000","FIX
MOBIL  5.286AA 5.271
5.287",MOBIL 5.287 ECA7,,,"PPDR
(BB-PPDR în banda
452,0-457,5 MHz pereche cu 462,0 – 467,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
"457,5000 – 458,2000",,,,,"PMR/PAMR de bandă îngustă
ECA7
Comunicaţii maritime la bordul navelor (in banda 457,5125 – 457,5875 MHz)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039
EN 300 720",,,,NG,
"458,2000 – 458,4500",,,,,Sisteme militare,,,,,G(A),
"458,4500-459,0000",,,,,Sisteme guvernamentale,,,,,G,
"459,0000 – 459,3000","FIX
MOBIL  5.286AA
5.209  5.271  5.286A  5.286B",MOBIL ECA7,,,Sisteme guvernamentale,,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"459,3000 – 459,7000",,,,,Sisteme militare,,,,,G(A),
"459,7000 – 460,0000",,,,,Sisteme guvernamentale,,,,,G,
"460,0000 – 460,5500","FIX
MOBIL 5.286AA
Meteorologic prin satelit (spațiu- Pământ)
5.287
5.288
5.289
5.290","MOBIL 5.287
5.289",,,"PMR/PAMR de bandă îngustă
ECA7","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"460,5500 - 462,0000",,,,,Sisteme militare,,,,,G(A),
"462,0000 - 463,0000",,,,,"PPDR
(BB-PPDR în banda 462,0-467,5
MHz pereche cu 452,0-457,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
"463,0000 - 467,5000",,,,,"PPDR
(BB-PPDR în banda  462,0-467,5
MHz pereche cu 452,0 – 457,5 MHz)","ECC/DEC/(16)02 T/R 25-08
EN 303 505",,,,G,
"467,5000 - 468,2000",,,,,"PMR/PAMR de bandă îngustă
ECA7
Comunicaţii maritime la bordul navelor (în banda 467,5125 – 467,5875 MHz)","ECC/DEC/(19)02 T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039
EN 300 720",,,,NG,
"468,2000-468,4500",,,,,Sisteme militare,,,,,G(A),
"468,4500-469,4500",,,,,Sisteme guvernamentale,,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"469,4500-469,7000",,,,,Sisteme militare,,,,,G(A),
"469,7000-470,0000",,,,,Sisteme guvernamentale,,,,,G,
"470,0000 - 608,0000",RADIODIFUZIUNE,"RADIODIFUZIUNE
Mobil",,,"Televiziune digitală terestră
(Acordul Geneva 2006)",EN 302 296,,,,NG,
,"5.149  5.291A  5.294  5.296
5.300  5.304  5.306   5.311A
5.312",,,,"PMSE audio
(include radiomicrofoane in banda 470-694 MHz, cu acord de frecvenţă în bandă)","ERC/REC 25-10
ERC/REC 70-03
EN 300 422
EN 300 454
Decizia 2017/899/UE",,,,,
,,,,,Radare profil de vânt (limitate la banda 470-494 MHz; partaj geografic cu alte servicii),,,,,,
,,,,,Linii fixe unilaterale (cu caracter local și statut secundar) între studiouri de radio și emițătoarele de radiodifuziune aferente,,,,,,
"608,0000 - 614,0000",,"RADIODIFUZIUNE
Mobil",,,"Televiziune digitală terestră
(Acordul Geneva 2006)",EN 302 296,,,,NG,
,,"Radioastronomie 5.306
5.149",,,"PMSE audio
(include radiomicrofoane in banda 470-694 MHz, cu acord de frecvenţă în bandă)","ERC REC 70-03
ERC/REC 25-10
EN 300 422
EN 300 454
Decizia 2017/899/UE",,,,,
,,,,,Aplicații pentru radioastronomie (Măsurări în domeniul contiunuu; VLBI),,,,,,
,,,,,Linii fixe unilaterale (cu caracter local și statut secundar) între studiouri de radio și emitătoarele de radiodifuziune aferente,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"614,0000 – 694,0000",,"RADIODIFUZIUNE
Mobil",,,"Televiziune digitală terestră
(Acordul Geneva 2006)
PMSE audio
(include radiomicrofoane in banda 470-694 MHz, cu acord de frecvenţă în bandă)
Linii fixe unilaterale (cu caracter local si statut secundar) intre studiouri de radio si emitatoarele
de radiodifuziune aferente (în banda 470-694 MHz)","EN 302 296
ERC REC 70-03
ERC/REC 25-10
EN 300 442
EN 300 454
Decizia 2017/899/UE",,,,NG,
"694,0000 – 698,0000","RADIODIFUZIUNE
MOBIL cu excepția mobil
aeronautic 5.312A 5.317A 5.300  5.311A  5.312","MOBIL cu excepția mobil
aeronautic 5.312A 5.317A",,,Bandă de gardă,,,,,NG,
"698,0000 – 703,0000",,,,,"BB-PPDR (banda 698-703 MHz
pentru emisia stației mobile,
pereche cu 753-758 MHz)",Decizia (UE) 2016/687 ECC/DEC/(16)02,,,,G,
"703,0000 – 733,0000",,,,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (MFCN)
(banda 703-733 MHz pentru emisia stației mobile, pereche cu 758-788 MHz)
IMT (LTE; LTE-MTC; LTE-eMTC; NB-IoT)
NR","Decizia (UE) 2017/899 Decizia (UE) 2016/687 ECC/DEC/(15)01 ERC/REC/(15)01
EN 301 908-1
EN 301 908-13
EN 301 908-14
EN 301 908-15
EN 301 908-18",,,,NG,
"733,0000 – 736,0000",,,,,"BB-PPDR (banda 733-736 MHz
pentru emisia stației mobile,
pereche cu 788-791 MHz)",Decizia (UE) 2016/687 ECC/DEC/(16)02,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"736,0000 – 753,0000",,,,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (MFCN)
(în banda 738-753 MHz, exclusiv pentru emisia stației de bază – legătura descendentă suplimentară SDL)
IMT NR","Decizia (UE) 2017/899 Decizia (UE) 2016/687 ECC/DEC/(15)01 ERC/REC/(15)01
EN 308 901",,,,NG,
"753,0000  - 758,0000",,,,,"BB-PPDR (banda 753-758 MHz
pentru emisia stației de bază,
pereche cu 698-703 MHz)",Decizia (UE) 2016/687 ECC/DEC/(16)02,,,,G,
"758,0000 – 788,0000",,,,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (MFCN) (banda 758- 788 MHz pentru emisia stației de bază, pereche cu 703-733 MHz) IMT (LTE; LTE-MTC; LTE-eMTC; NB-IoT)","Decizia (UE) 2017/899 Decizia (UE) 2016/687 ECC/DEC/(15)01 ERC/REC/(15)01
EN 301 908-1
EN 301 908-13
EN 301 908-14
EN 301 908-15
EN 301 908-18",,,,NG,
,,,,,NR,,,,,,
"788,0000 – 790,0000",,,,,"BB-PPDR (banda 788-791 MHz
pentru emisia stației de bază,
pereche cu 733-736 MHz)",Decizia (UE) 2016/687 ECC/DEC/(16)02,,,,G,
"790,0000 - 791,0000","RADIODIFUZIUNE FIX
MOBIL cu excepția mobil","MOBIL cu excepţia mobil
aeronautic 5.316B  5.317A",,,"BB-PPDR (banda 788-791 MHz
pentru emisia stației de bază,
pereche cu 733-736 MHz)",Decizia (UE) 2016/687 ECC/DEC/(16)02,,,,G,
,,,,,,,,,,,
,,,,,,,,,,,
"791,0000 – 862,0000",,,,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (MFCN) (banda 791- 821 MHz pentru emisia stației de bază, pereche cu 832-862 MHz) IMT
UMTS","Decizia 2010/267/UE ECC/DEC/(09)03 ECC/REC/(11)04
EN 301 908-1
EN 301 908-2
EN 301 908-3
EN 301 908-11
EN 301 908-18",,,,NG,
,,,,,LTE,"EN 301 908-1
EN 301 908-13
EN 301 908-14
EN 301 908-15
EN 301 908-18",,,,,
,,,,,PMSE audio (include radiomicrofoane în banda 823- 832 MHz),"ERC/REC 70–03
ERC/REC 25-10
EN 300 422
Decizia 2014/641/UE",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"862,0000 - 870,0000",RADIODIFUZIUNE 5.322,MOBIL,,,Sisteme militare terestre,,,,,G(A)/NG,
,"FIX
MOBIL cu excepția mobil aeronautic  5.317A
5.319  5.323","5.323
ECA13 ECA36",,,"Alarme
(conform deciziei Comisiei din 2006 în benzile 868,6-868,7 MHz; 869,2-869,25 MHz (numai alarme sociale); 869,25-869,3 MHz;
869,65-869,7 MHz) (conform deciziei Comisiei din 2008 şi în banda 869,3-869,4 MHz)","ERC/REC 70-03
EN 300 220
EN 303 406
Decizia 2006/771/CE (Nota 1)
Decizia 2008/432/CE (Nota 2)",,,,,
,,,,,"SRD nespecifice
(conform deciziei Comisiei din 2006 în benzile 868,0-868,6 MHz;
868,7-869,2 MHz; 869,4- 869,65
MHz; 869,7-870 MHz) (conform deciziei Comisiei din 2008 şi în banda 863-868 MHz) (conform deciziei Comisiei din 2019 şi în banda 862-863 MHz)","ERC/REC 70-03
EN 300 220
Decizia 2006/771/CE (Nota 1)
Decizia 2008/432/CE (Nota 2)",,,,,
,,,,,Radiomicrofoane (în banda 863- 865 MHz),"ERC/REC 70-03
EN 300 422
EN 301 357",,,,,
,,,,,"Dispozitive de identificare în
radiofrecvenţă (RFID)
(în banda 865-868 MHz)","ERC/REC 70-03
EN 302 208
Decizia 2017/1483/CE (Nota 14)",,,,,
,,,,,Sisteme de transmisiuni de date în bandă largă (în banda 863-868 MHz),"ERC/REC 70-03
Decizia 2017/1483/CE (Nota 14)",,,,,
,,,,,"Aplicații pentru localizare, urmărire și achiziții de date (în banda 865-868 MHz)","ERC/REC 70-03
EN 303 204",,,,,
,,,,,Dispozitive audio pe suport radio (în banda 863-865 MHz),"ERC/REC 70-03
EN 301 357
EN 300 422
Decizia 2006/771/CE (Nota 1)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"870,0000-876,0000",RADIODIFUZIUNE 5.322,MOBIL,,,"Sisteme militare terestre
(Benzile 870-876 șii 915-921 MHz sunt utilizate pentru sisteme terestre militare, în mod particular pentru sisteme fără pilot. In ţările în care aceste benzi sunt sau vor fi pentru uz civil conform deciziilor ERC/ECC, utilizarea partajată civil-militară va fi analizată din considerente naţionale. Alte sub- benzi în gama de acord 610-960 MHz pot fi de asemenea folosite în baza reglementărilor naţionale conform cerinţelor naţionale)
SRD nespecifice
(în banda 874-874,4 MHz)","ERC/REC 70-03
EN 300 220
EN 303 204
Decizia 2018/1538/UE",,,,G(A)/NG,
,FIX,,,,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic  5.317A","5.319  5.323
ECA13",,,,,,,,,
,,ECA36,,,,,,,,,
,5.319  5.323,,,,,,,,,,
,,,,,,,,,,,
"876,000 – 880,000",RADIODIFUZIUNE 5.322,MOBIL,,,Sisteme militare terestre,,,,,G(A)/NG,
,"FIX
MOBIL cu excepţia mobil
aeronautic  5.317A
5.319  5.323","5.319  5.323
ECA13 ECA36",,,"GSM-R (în banda 876-880 MHz, pereche cu 921-925 MHz; sisteme pentru căile ferate)","Decizia 1999/569/CE ECC/DEC/(02)05 ECC/REC/(05)08
EN 301 502
EN 301 511",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"880,0000-890,0000","RADIODIFUZIUNE 5.322 FIX
MOBIL cu excepţia mobil
aeronautic  5.317A","MOBIL 5.317A
5.319
ECA32",,,"GSM (în banda 880-890 MHz, pereche cu 925-935 MHz) ECA 32","Directiva 2009/114/CE ERC/DEC/(97)02 ECC/REC/(08)02 ECC/REC/(05)08
EN 301 502
EN 301 511
EN 301 908-18
EN 303 609
Directiva 87/372/CEE modificată prin Directiva 2009/114/CE
Decizia 2009/766/CE modificată prin Decizia CE 2011/251/UE
Decizia UE/2018/637 ECC/DEC/(06)13 ECC/REC/(08)02
EN 301 908
ECC/DEC/(08)08
Decizia CE 2010/166/UE Rec. 2010/167/UE
Decizia 2017/191/UE",,,,NG,
,5.319,,,,,,,,,,
,5.323,,,,,,,,,,
,,,,,IMT (UMTS; LTE; LTE-MTC; LTE-eMTC; WiMAX; NB-IoT),,,,,,
,,,,,MCV,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"890,0000 – 915,0000","RADIODIFUZIUNE 5.322 FIX
MOBIL cu exceptia mobil aeronautic  5.317A
Radiolocatie","MOBIL 5.317A
ECA32",,,"GSM (în banda 890-915 MHz, pereche cu 935-960 MHz) ECA 32","Directiva 87/372/CEE modificată prin Directiva 2009/114/CE ERC/DEC/(94)01 ERC/DEC/(97)02 ECC/REC/(08)02
ECC/REC/(05)08",,,,NG,
,5.323,,,,,"EN 301 502
EN 301 511",,,,,
,,,,,,EN 301 908-18,,,,,
,,,,,,EN 303 609,,,,,
,,,,,IMT (UMTS; LTE; LTE-MTC;,Directiva 87/372/CEE,,,,,
,,,,,LTE-eMTC; WiMAX; NB-IoT),modificată prin Directiva,,,,,
,,,,,,2009/114/CE,,,,,
,,,,,,Decizia 2009/766/CE,,,,,
,,,,,,modificată prin Decizia CE,,,,,
,,,,,,2011/251/UE,,,,,
,,,,,,Decizia UE/2018/637,,,,,
,,,,,,ECC/DEC/(06)13,,,,,
,,,,,,ECC/REC/(08)02,,,,,
,,,,,,EN 301 908,,,,,
,,,,,MCV,Decizie CE 2010/166/UE,,,,,
,,,,,,modificată prin Decizia,,,,,
,,,,,,2017/191/UE,,,,,
,,,,,,Rec. 2010/167/UE,,,,,
,,,,,,ECC/DEC/(08)08,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"915,0000 – 921,0000",RADIODIFUZIUNE 5.322,MOBIL,,,"Sisteme militare terestre
(Benzile 870-876 și 915-921 MHz sunt utilizate pentru sisteme terestre militare, pentru sisteme fără pilot. În ţările în care aceste benzi sunt sau vor fi pentru uz civil conform deciziilor ERC/ECC, utilizarea partajată civil-militară va fi analizată din considerente naţionale. Alte sub-benzi în gama de acord 610-960 MHz pot fi de asemenea folosite în baza reglementărilor naţionale conform cerinţelor naţionale)
SRD nespecifice, utilizate
exclusiv în reţele de date
(în benzile 917,3-918,9 MHz şi 917,4-919,4 MHz)
RFID
(în banda 916,1-918,9 MHz)
Sisteme de transmisiuni de date de bandă largă
(în banda 917,4-919,4 MHz)",,,,,G(A)/NG,
,FIX,Radiolocație,,,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic  5.317A",5.323ECA13,,,,,,,,,
,Radiolocaţie,ECA14,,,,,,,,,
,,ECA36,,,,,,,,,
,5.323,,,,,,,,,,
,,,,,,"ERC/REC 70-03
EN 300 220
EN 303 659
Decizia 2018/1538/UE",,,,,
,,,,,,"ERC/REC 70-03
EN 302 208
Decizia 2018/1538/UE",,,,,
,,,,,,"ERC/REC 70-03
EN 303 659
Decizia 2018/1538/UE",,,,,
"921,0000 – 925,0000",RADIODIFUZIUNE 5.322,MOBIL,,,"Sisteme militare terestre Sisteme militare maritime
GSM-R (în banda 915-921 MHz, pereche cu 876-880 MHz )","Decizia 1999/569/CE ECC/DEC/(02)05 ECC/REC/(05)08
EN 301 502
EN 301 511",,,,G(A)/NG,
,FIX,Radiolocatie,,,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic 5.317A",5.323,,,,,,,,,
,Radiolocaţie,ECA13,,,,,,,,,
,,ECA14,,,,,,,,,
,5.323,ECA36,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"925,0000 – 942,0000","RADIODIFUZIUNE 5.322 FIX
MOBIL cu excepţia mobil
aeronautic 5.317A
Radiolocaţie",MOBIL 5.317A ECA32,,,GSM (în banda 925-942 MHz pereche cu 880-897 MHz) ECA32,"Directiva 87/372/CEE modificată prin Directiva 2009/114/CE ERC/DEC/(94)01 ERC/DEC/(97)02
ECC/REC/(05)08",,,,NG,
,,,,,,ECC/REC/(08)02,,,,,
,5.323,,,,,"EN 301 502
EN 301 511",,,,,
,,,,,,EN 301 908-18,,,,,
,,,,,,EN 303 609,,,,,
,,,,,IMT (UMTS; LTE; LTE-MTC;,Directiva 87/372/CEE,,,,,
