"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"40,3000 – 40,6600",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
"40,6600 – 40,7000",FIX,MOBIL,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 301 039
ERC/DEC (01)12
ERC/REC 70-03
EN 300 220
ERC/REC 70-03
EN 300 220
Decizia 2006/771/CE (Nota 1)
ERC/REC 70-03
EN 300 422",,,,NG,
,MOBIL,5.150,,,,,,,,,
,5.150,,,,,,,,,,
,,,,,"ISM (în banda 40,66-40,7 MHz)",,,,,,
,,,,,"Controlul modelelor (în benzile 40,66-40,67 MHz; 40,67-40,68
MHz; 40,68-40,69 MHz; 40,69-
40,7 MHz)",,,,,,
,,,,,SRD nespecifice,,,,,,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 40,66-41,015 MHz)",,,,,,
"40,7000 – 40,9800",FIX MOBIL,MOBIL,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 40,66-41,015 MHz)","ERC/REC 70-03
EN 300 422",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"40,9800 – 41,0150",FIX,MOBIL,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039
ERC/REC 70-03
EN 300 422",,,,NG,
,MOBIL,Cercetare spațială,,,,,,,,,
,Cercetare spațială,,,,,,,,,,
,5.160,,,,,,,,,,
,5.161,,,,,,,,,,
,,,,,"Radiomicrofoane (cu acord de
frecvenţă în banda 40,66-41,015 MHz)",,,,,,
